Property_Type,Property_Area,Number_of_Doors,Power_Backup,Water_Supply,Traffic_Density_Score,Air_Quality_Index,Neighborhood_Review,Habitability_score,Number_of_Windows,Furnishing,Frequency_of_Powercuts,Crime_Rate,Dust_and_Noise
3.0,279,1,2.0,0.0,6.02,165.0,4.71,67.28,0.0,2.0,0.0,3.0,2.0
1.0,728,3,1.0,0.0,5.75,88.0,4.18,75.16,4.0,1.0,0.0,1.0,2.0
1.0,514,3,1.0,0.0,5.09,115.0,3.52,82.32,3.0,1.0,0.0,0.0,2.0
5.0,1206,2,2.0,3.0,7.06,85.0,4.49,87.04,2.0,1.0,0.0,3.0,2.0
5.0,1345,4,2.0,3.0,7.08,102.0,3.84,86.43,4.0,2.0,0.0,1.0,2.0
5.0,1662,3,1.0,0.0,4.26,110.0,4.16,80.75,3.0,1.0,0.0,1.0,2.0
5.0,1985,2,1.0,2.0,3.54,57.0,3.67,91.78,2.0,1.0,1.0,3.0,1.0
1.0,781,3,2.0,2.0,7.08,114.0,3.51,75.06,1.0,1.0,1.0,3.0,2.0
5.0,1365,2,2.0,4.0,6.46,105.0,3.84,74.92,2.0,1.0,0.0,3.0,2.0
5.0,1614,2,1.0,3.0,5.84,95.0,3.86,74.48,3.0,0.0,0.0,1.0,2.0
4.0,867,2,1.0,0.0,7.79,116.0,4.76,87.75,7.0,0.0,0.0,3.0,2.0
4.0,1189,2,1.0,0.0,4.4,91.0,4.18,87.29,4.0,1.0,0.0,1.0,2.0
5.0,1602,1,1.0,0.0,3.43,15.0,4.35,76.9,2.0,1.0,1.0,3.0,1.0
1.0,896,3,2.0,2.0,5.84,106.0,3.53,74.04,2.0,1.0,0.0,1.0,2.0
5.0,1879,3,2.0,2.0,6.59,133.0,3.49,80.79,5.0,1.0,1.0,3.0,2.0
3.0,279,2,1.0,0.0,8.43,139.0,4.04,84.92,3.0,1.0,1.0,3.0,0.0
4.0,449,3,1.0,3.0,7.13,161.0,3.77,74.53,7.0,1.0,0.0,1.0,2.0
5.0,2198,1,1.0,2.0,8.52,133.0,4.04,83.28,3.0,1.0,0.0,3.0,0.0
2.0,2838,5,1.0,0.0,7.73,91.0,4.16,71.09,13.0,1.0,0.0,1.0,2.0
3.0,386,2,1.0,2.0,7.02,141.0,3.48,46.51,0.0,2.0,1.0,3.0,2.0
5.0,1954,1,1.0,0.0,6.4,138.0,4.11,65.2,4.0,2.0,0.0,1.0,2.0
4.0,542,2,1.0,0.0,6.96,82.0,4.18,83.87,4.0,1.0,1.0,3.0,2.0
1.0,994,3,2.0,0.0,6.31,113.0,4.14,87.39,3.0,1.0,1.0,3.0,2.0
1.0,934,3,1.0,2.0,6.93,155.0,2.9,79.61,1.0,1.0,2.0,3.0,1.0
4.0,538,1,1.0,0.0,7.42,127.0,4.75,74.64,4.0,1.0,0.0,3.0,2.0
2.0,2757,3,2.0,3.0,6.28,129.0,4.44,89.94,12.0,1.0,0.0,3.0,2.0
1.0,702,3,1.0,0.0,1.9,99.0,4.25,85.07,2.0,0.0,0.0,1.0,1.0
2.0,3843,3,2.0,0.0,8.03,150.0,3.4,74.67,6.0,1.0,2.0,3.0,0.0
3.0,412,1,1.0,0.0,6.58,82.0,4.18,74.17,2.0,1.0,0.0,1.0,2.0
5.0,1123,3,1.0,0.0,5.71,118.0,2.89,90.09,5.0,0.0,1.0,2.0,2.0
4.0,774,3,1.0,3.0,6.77,168.0,3.76,80.57,6.0,1.0,0.0,1.0,2.0
5.0,1289,4,1.0,2.0,6.89,113.0,2.26,78.78,4.0,0.0,3.0,3.0,2.0
1.0,738,3,2.0,2.0,7.73,127.0,4.12,77.4,2.0,2.0,0.0,3.0,2.0
3.0,489,2,1.0,0.0,8.91,174.0,2.73,35.17,1.0,1.0,1.0,0.0,0.0
5.0,2235,1,1.0,0.0,6.7,106.0,4.15,80.47,4.0,2.0,1.0,3.0,2.0
1.0,750,2,1.0,0.0,7.06,126.0,4.75,74.87,1.0,1.0,0.0,3.0,2.0
3.0,253,2,1.0,0.0,7.62,96.0,4.79,88.18,2.0,1.0,0.0,3.0,2.0
5.0,1306,4,1.0,3.0,8.4,120.0,3.12,60.1,5.0,1.0,0.0,0.0,0.0
5.0,1512,3,2.0,3.0,7.96,82.0,4.49,89.87,4.0,1.0,0.0,3.0,2.0
4.0,1131,1,2.0,4.0,8.29,131.0,3.11,62.99,6.0,2.0,0.0,1.0,0.0
3.0,358,2,1.0,3.0,5.75,115.0,3.83,82.61,3.0,1.0,0.0,1.0,2.0
1.0,448,3,1.0,0.0,5.92,112.0,4.15,70.37,2.0,2.0,1.0,3.0,2.0
1.0,593,2,2.0,0.0,6.09,122.0,2.88,80.4,3.0,1.0,2.0,1.0,2.0
5.0,1294,1,2.0,4.0,5.56,104.0,2.59,88.04,4.0,1.0,1.0,1.0,2.0
5.0,1429,4,1.0,0.0,8.32,189.0,2.72,30.54,4.0,2.0,1.0,0.0,0.0
1.0,444,1,1.0,2.0,8.48,180.0,2.73,64.82,2.0,1.0,0.0,3.0,0.0
1.0,426,1,1.0,0.0,6.28,129.0,4.75,66.92,1.0,1.0,0.0,3.0,2.0
5.0,2062,3,2.0,3.0,6.87,123.0,1.93,79.25,5.0,1.0,3.0,1.0,2.0
5.0,1885,2,1.0,3.0,6.08,102.0,4.47,85.96,3.0,0.0,0.0,3.0,2.0
1.0,373,3,1.0,0.0,6.76,102.0,4.16,89.32,2.0,1.0,1.0,3.0,2.0
2.0,3535,6,1.0,0.0,7.72,152.0,4.71,90.81,14.0,0.0,0.0,3.0,2.0
1.0,407,1,2.0,3.0,8.15,125.0,3.11,83.19,3.0,1.0,1.0,1.0,0.0
5.0,1550,2,1.0,3.0,4.85,106.0,3.85,70.75,5.0,2.0,0.0,1.0,2.0
1.0,637,1,2.0,3.0,4.94,116.0,3.84,79.92,2.0,2.0,1.0,3.0,2.0
1.0,604,2,1.0,4.0,7.48,154.0,3.77,82.24,4.0,1.0,0.0,3.0,2.0
1.0,209,1,1.0,2.0,5.06,81.0,2.94,36.49,1.0,2.0,0.0,0.0,2.0
5.0,1331,2,1.0,0.0,6.84,90.0,4.8,71.51,3.0,1.0,0.0,3.0,2.0
1.0,321,2,1.0,2.0,5.61,95.0,3.54,82.39,2.0,1.0,1.0,3.0,2.0
1.0,318,1,1.0,0.0,5.87,101.0,4.16,77.93,1.0,0.0,0.0,1.0,2.0
4.0,804,3,1.0,2.0,2.42,35.0,3.7,90.95,6.0,1.0,0.0,1.0,1.0
4.0,743,3,2.0,3.0,7.53,149.0,3.15,73.77,4.0,1.0,1.0,2.0,2.0
1.0,874,3,1.0,3.0,6.87,170.0,2.5,75.4,3.0,0.0,0.0,2.0,2.0
1.0,504,3,2.0,2.0,5.38,117.0,3.52,88.01,4.0,0.0,0.0,1.0,2.0
5.0,1113,3,1.0,0.0,4.91,81.0,2.31,35.01,3.0,2.0,2.0,1.0,2.0
2.0,4262,4,1.0,0.0,6.88,114.0,4.14,73.09,11.0,1.0,1.0,3.0,2.0
5.0,1528,3,2.0,0.0,7.22,123.0,4.75,87.72,5.0,1.0,0.0,3.0,2.0
5.0,1280,4,1.0,2.0,6.31,150.0,2.84,71.19,5.0,0.0,0.0,0.0,2.0
1.0,420,2,1.0,3.0,5.26,86.0,4.5,84.43,4.0,0.0,0.0,3.0,2.0
1.0,762,3,2.0,2.0,6.41,113.0,1.63,79.57,2.0,0.0,2.0,0.0,2.0
4.0,709,1,1.0,0.0,5.29,80.0,4.19,82.6,5.0,1.0,0.0,1.0,2.0
1.0,246,3,1.0,2.0,6.4,81.0,4.18,79.03,2.0,0.0,0.0,3.0,2.0
1.0,495,1,2.0,0.0,6.42,127.0,4.75,88.62,1.0,0.0,0.0,3.0,2.0
1.0,890,2,1.0,0.0,3.01,90.0,2.37,35.65,3.0,2.0,1.0,2.0,1.0
2.0,2435,4,1.0,0.0,5.8,111.0,4.15,71.0,14.0,1.0,0.0,1.0,2.0
2.0,3357,3,1.0,0.0,5.12,101.0,4.17,74.46,10.0,1.0,0.0,2.0,2.0
4.0,894,2,1.0,0.0,5.12,90.0,4.18,95.09,5.0,1.0,1.0,3.0,2.0
5.0,5925,1,1.0,3.0,5.17,95.0,3.86,87.68,4.0,1.0,0.0,1.0,2.0
3.0,211,1,1.0,3.0,8.39,157.0,4.33,69.53,2.0,0.0,0.0,3.0,0.0
5.0,2130,4,1.0,0.0,6.05,150.0,4.1,81.31,3.0,0.0,1.0,3.0,2.0
5.0,1894,1,1.0,3.0,7.68,80.0,3.24,69.35,4.0,0.0,1.0,2.0,2.0
1.0,466,2,2.0,3.0,6.18,164.0,4.39,78.9,1.0,1.0,0.0,3.0,2.0
4.0,1252,1,1.0,3.0,6.55,143.0,4.42,70.98,7.0,1.0,0.0,3.0,2.0
1.0,410,2,1.0,3.0,6.56,112.0,3.2,74.16,2.0,1.0,0.0,0.0,2.0
5.0,1983,3,1.0,0.0,3.33,66.0,3.66,78.13,3.0,0.0,1.0,1.0,1.0
1.0,952,3,1.0,0.0,4.06,99.0,4.18,79.75,2.0,0.0,0.0,1.0,2.0
3.0,302,1,1.0,2.0,5.19,644.0,2.9,58.25,2.0,1.0,2.0,3.0,2.0
2.0,4266,4,2.0,4.0,7.75,129.0,3.8,82.82,7.0,1.0,0.0,3.0,2.0
5.0,1840,3,1.0,4.0,5.46,90.0,3.86,74.38,5.0,1.0,0.0,3.0,2.0
1.0,390,2,1.0,3.0,5.83,106.0,3.21,58.84,3.0,1.0,0.0,0.0,2.0
5.0,2219,3,2.0,0.0,5.95,86.0,4.18,85.75,2.0,1.0,1.0,3.0,2.0
5.0,1202,2,2.0,0.0,6.25,157.0,4.09,86.8,5.0,0.0,1.0,3.0,2.0
4.0,444,3,1.0,2.0,7.01,142.0,3.48,85.44,7.0,1.0,1.0,3.0,2.0
2.0,3823,4,1.0,3.0,6.73,141.0,3.79,68.13,15.0,1.0,1.0,3.0,2.0
5.0,1811,1,1.0,3.0,5.46,89.0,3.24,52.39,3.0,2.0,1.0,1.0,2.0
1.0,178,3,2.0,0.0,6.84,163.0,4.71,70.8,3.0,2.0,0.0,3.0,2.0
5.0,2151,2,2.0,0.0,5.66,117.0,4.14,88.28,5.0,1.0,1.0,3.0,2.0
5.0,2151,1,1.0,2.0,7.09,119.0,4.13,66.16,2.0,2.0,0.0,3.0,2.0
1.0,220,2,1.0,0.0,5.35,118.0,4.77,67.18,4.0,2.0,0.0,3.0,2.0
1.0,581,2,1.0,0.0,5.83,95.0,3.54,69.08,1.0,1.0,0.0,0.0,2.0
1.0,624,1,2.0,3.0,5.41,102.0,4.48,84.46,2.0,1.0,0.0,3.0,2.0
5.0,1221,2,1.0,0.0,6.96,124.0,2.24,76.49,3.0,1.0,3.0,1.0,2.0
1.0,962,2,1.0,2.0,3.7,12.0,4.35,74.9,4.0,1.0,0.0,3.0,1.0
5.0,1830,1,1.0,0.0,7.82,88.0,4.17,79.42,4.0,2.0,0.0,1.0,2.0
4.0,446,3,2.0,0.0,6.83,162.0,4.08,78.34,7.0,1.0,0.0,1.0,2.0
1.0,572,1,1.0,3.0,9.24,148.0,3.08,85.22,2.0,0.0,0.0,0.0,0.0
1.0,933,3,0.0,0.0,6.64,99.0,4.79,84.8,4.0,0.0,0.0,3.0,2.0
4.0,444,2,2.0,3.0,9.05,184.0,2.41,73.32,4.0,1.0,0.0,2.0,0.0
5.0,1780,1,1.0,2.0,6.24,152.0,4.1,83.08,3.0,0.0,0.0,3.0,2.0
5.0,1294,3,1.0,0.0,8.73,186.0,2.72,63.66,4.0,1.0,0.0,2.0,0.0
1.0,802,2,2.0,3.0,7.25,146.0,4.41,79.71,1.0,1.0,0.0,3.0,2.0
5.0,2094,1,1.0,0.0,5.82,117.0,2.89,83.89,3.0,0.0,1.0,1.0,2.0
1.0,838,1,1.0,3.0,6.18,144.0,3.79,79.22,1.0,1.0,0.0,1.0,2.0
1.0,592,1,2.0,0.0,6.29,146.0,4.73,85.57,4.0,1.0,0.0,3.0,2.0
1.0,589,1,1.0,0.0,6.59,152.0,4.72,68.68,1.0,1.0,0.0,3.0,2.0
1.0,974,1,2.0,2.0,8.76,184.0,2.09,43.51,3.0,2.0,1.0,0.0,0.0
1.0,917,3,1.0,0.0,7.67,148.0,4.72,83.85,1.0,0.0,0.0,3.0,2.0
4.0,949,3,2.0,2.0,5.13,93.0,2.92,81.35,4.0,0.0,0.0,0.0,2.0
5.0,1837,3,1.0,0.0,7.77,109.0,4.77,88.09,5.0,2.0,0.0,3.0,2.0
1.0,498,1,1.0,3.0,5.58,102.0,3.85,68.69,1.0,1.0,0.0,1.0,2.0
5.0,1292,4,1.0,0.0,4.45,112.0,4.16,79.08,2.0,1.0,0.0,1.0,2.0
4.0,864,1,1.0,0.0,6.25,94.0,4.17,74.62,5.0,1.0,0.0,1.0,2.0
1.0,463,3,1.0,0.0,5.39,117.0,4.77,86.35,3.0,0.0,0.0,3.0,2.0
1.0,508,1,1.0,3.0,6.81,135.0,3.8,81.82,3.0,1.0,1.0,3.0,2.0
1.0,855,3,2.0,2.0,4.65,112.0,2.9,88.26,2.0,1.0,0.0,0.0,2.0
1.0,896,2,1.0,0.0,5.95,105.0,4.16,86.99,4.0,1.0,0.0,1.0,2.0
5.0,1685,1,1.0,0.0,4.44,108.0,4.79,71.44,3.0,1.0,0.0,3.0,2.0
5.0,1725,1,1.0,0.0,6.68,165.0,2.19,57.79,2.0,1.0,3.0,1.0,2.0
2.0,2312,3,1.0,4.0,6.15,145.0,3.79,81.37,13.0,0.0,0.0,2.0,2.0
4.0,584,2,1.0,0.0,7.36,132.0,2.86,69.55,7.0,1.0,1.0,0.0,2.0
4.0,691,1,2.0,3.0,8.07,200.0,4.28,73.47,5.0,2.0,0.0,3.0,0.0
1.0,383,1,1.0,4.0,7.05,134.0,3.17,68.18,2.0,1.0,1.0,3.0,2.0
5.0,1719,2,1.0,0.0,7.01,126.0,4.12,81.81,4.0,1.0,1.0,3.0,2.0
1.0,248,2,1.0,3.0,7.18,130.0,3.8,67.8,2.0,1.0,0.0,1.0,2.0
1.0,962,2,1.0,3.0,7.33,113.0,2.57,75.86,1.0,0.0,0.0,2.0,2.0
5.0,1494,4,2.0,0.0,6.14,139.0,4.74,93.0,5.0,1.0,0.0,3.0,2.0
2.0,3820,2,1.0,3.0,6.48,130.0,1.93,36.22,14.0,2.0,1.0,2.0,2.0
2.0,3565,5,2.0,0.0,5.92,92.0,4.17,88.24,12.0,1.0,0.0,1.0,2.0
1.0,309,2,1.0,3.0,5.61,107.0,3.84,74.2,3.0,0.0,0.0,1.0,2.0
1.0,772,3,1.0,3.0,4.69,95.0,2.61,70.09,2.0,1.0,2.0,1.0,2.0
5.0,2189,3,1.0,2.0,6.31,164.0,3.45,69.25,4.0,2.0,0.0,1.0,2.0
5.0,1830,4,1.0,3.0,6.3,132.0,3.81,76.81,3.0,0.0,0.0,1.0,2.0
5.0,2283,3,1.0,3.0,6.85,154.0,2.52,67.48,2.0,1.0,0.0,2.0,2.0
3.0,15322,2,1.0,0.0,5.93,119.0,4.14,61.1,3.0,2.0,1.0,3.0,2.0
1.0,841,1,1.0,2.0,7.0,106.0,4.15,69.49,1.0,2.0,0.0,3.0,2.0
5.0,2054,3,1.0,0.0,4.98,116.0,4.15,64.14,5.0,2.0,0.0,1.0,2.0
1.0,576,3,1.0,2.0,7.38,152.0,4.09,70.2,1.0,1.0,0.0,3.0,2.0
4.0,1127,2,1.0,2.0,6.81,127.0,3.5,66.42,4.0,1.0,0.0,1.0,2.0
5.0,1807,3,1.0,2.0,6.3,162.0,4.08,73.72,4.0,2.0,0.0,3.0,2.0
5.0,1304,3,1.0,0.0,6.87,137.0,4.74,89.91,2.0,0.0,0.0,3.0,2.0
1.0,995,3,1.0,2.0,4.18,100.0,2.92,70.0,3.0,1.0,0.0,0.0,2.0
5.0,2065,1,1.0,4.0,5.35,95.0,3.86,76.61,3.0,0.0,0.0,3.0,2.0
4.0,617,3,1.0,0.0,6.88,134.0,4.11,77.76,4.0,0.0,1.0,3.0,2.0
0.0,2033,1,1.0,0.0,7.2,117.0,4.76,76.98,4.0,1.0,0.0,3.0,2.0
1.0,6588,1,1.0,0.0,5.42,93.0,3.55,69.37,1.0,1.0,1.0,1.0,2.0
2.0,2786,2,1.0,0.0,6.36,106.0,4.78,89.34,4.0,0.0,0.0,3.0,2.0
1.0,430,2,1.0,2.0,5.5,117.0,2.89,36.57,2.0,2.0,1.0,1.0,2.0
5.0,1717,2,2.0,3.0,5.51,108.0,3.84,86.26,5.0,2.0,0.0,1.0,2.0
0.0,651,2,1.0,0.0,5.46,82.0,2.93,45.58,4.0,2.0,1.0,0.0,2.0
4.0,970,3,1.0,3.0,8.09,123.0,3.12,36.14,5.0,2.0,0.0,0.0,0.0
4.0,618,3,2.0,0.0,5.8,114.0,4.15,94.59,6.0,2.0,0.0,1.0,2.0
1.0,240,2,1.0,2.0,2.2,68.0,4.29,83.27,3.0,0.0,0.0,3.0,1.0
5.0,1380,4,0.0,4.0,7.08,157.0,3.14,79.12,5.0,2.0,1.0,3.0,2.0
1.0,438,1,1.0,2.0,5.72,92.0,3.55,74.93,4.0,1.0,0.0,1.0,2.0
4.0,506,3,0.0,2.0,7.27,162.0,3.45,87.26,5.0,2.0,1.0,3.0,2.0
1.0,528,2,1.0,0.0,3.5,24.0,4.96,74.91,2.0,1.0,0.0,3.0,1.0
5.0,1600,2,2.0,0.0,6.44,103.0,3.53,78.02,2.0,1.0,0.0,0.0,2.0
1.0,458,2,1.0,0.0,5.3,103.0,4.16,74.07,4.0,1.0,0.0,1.0,2.0
1.0,477,1,1.0,0.0,6.71,107.0,3.52,83.7,2.0,1.0,2.0,3.0,2.0
3.0,390,1,2.0,0.0,5.87,108.0,4.15,92.51,0.0,0.0,0.0,1.0,2.0
5.0,1533,4,1.0,3.0,7.04,98.0,2.59,88.0,4.0,0.0,1.0,0.0,2.0
1.0,198,1,1.0,0.0,7.31,134.0,4.74,93.48,2.0,1.0,0.0,3.0,2.0
2.0,4053,5,1.0,2.0,7.27,101.0,3.53,78.22,8.0,0.0,0.0,1.0,2.0
2.0,2226,6,2.0,2.0,5.9,102.0,3.53,78.25,11.0,1.0,0.0,1.0,2.0
1.0,254,1,1.0,2.0,5.02,87.0,3.56,69.14,3.0,1.0,0.0,1.0,2.0
3.0,271,1,1.0,2.0,5.31,111.0,3.53,61.59,0.0,1.0,0.0,1.0,2.0
4.0,1235,1,1.0,0.0,4.79,113.0,4.15,77.82,7.0,0.0,0.0,1.0,2.0
4.0,950,3,2.0,0.0,7.37,101.0,4.15,87.27,6.0,0.0,1.0,3.0,2.0
5.0,1149,2,1.0,4.0,7.01,101.0,3.21,80.88,4.0,1.0,0.0,1.0,2.0
5.0,2091,1,1.0,2.0,5.75,109.0,3.53,70.36,5.0,2.0,0.0,1.0,2.0
2.0,3276,3,1.0,2.0,6.43,151.0,2.84,70.14,4.0,0.0,2.0,3.0,2.0
1.0,198,2,1.0,0.0,6.3,124.0,2.25,67.69,1.0,1.0,3.0,1.0,2.0
1.0,997,1,1.0,3.0,7.56,143.0,2.53,65.53,1.0,1.0,2.0,1.0,2.0
2.0,1801,3,1.0,0.0,5.26,118.0,4.14,83.45,13.0,0.0,0.0,1.0,2.0
5.0,1932,3,2.0,0.0,6.46,134.0,4.74,94.2,4.0,0.0,0.0,3.0,2.0
4.0,1222,2,1.0,0.0,6.72,156.0,2.83,87.9,6.0,0.0,0.0,2.0,2.0
2.0,2029,2,1.0,0.0,8.42,145.0,4.03,83.55,9.0,1.0,1.0,3.0,0.0
5.0,1200,4,1.0,0.0,7.7,126.0,3.49,72.46,5.0,1.0,0.0,0.0,2.0
5.0,1182,2,1.0,2.0,8.41,126.0,2.8,65.46,2.0,1.0,0.0,0.0,0.0
3.0,407,2,2.0,0.0,5.79,120.0,4.77,86.86,2.0,1.0,0.0,2.0,2.0
2.0,3427,3,2.0,3.0,8.05,140.0,3.79,79.87,12.0,1.0,0.0,1.0,2.0
3.0,372,1,1.0,0.0,7.79,157.0,2.82,78.61,0.0,0.0,3.0,3.0,2.0
4.0,469,3,1.0,0.0,7.6,142.0,4.73,70.59,4.0,1.0,0.0,3.0,2.0
2.0,3509,6,1.0,0.0,6.37,161.0,4.71,82.69,13.0,1.0,0.0,3.0,2.0
3.0,419,2,1.0,4.0,6.09,154.0,3.78,77.48,2.0,1.0,0.0,3.0,2.0
4.0,555,3,2.0,0.0,8.92,136.0,2.78,69.56,5.0,1.0,1.0,0.0,0.0
3.0,342,2,1.0,0.0,5.76,97.0,3.54,36.02,1.0,2.0,1.0,1.0,2.0
5.0,1625,1,1.0,2.0,7.25,157.0,1.57,35.01,3.0,1.0,1.0,2.0,2.0
2.0,2484,4,1.0,3.0,6.08,103.0,3.84,63.04,4.0,2.0,1.0,3.0,2.0
1.0,415,1,1.0,2.0,7.42,104.0,4.15,83.78,1.0,1.0,0.0,3.0,2.0
1.0,547,2,1.0,0.0,6.49,155.0,3.46,74.41,1.0,0.0,1.0,1.0,2.0
4.0,1022,2,1.0,2.0,6.83,143.0,2.85,66.31,7.0,1.0,1.0,1.0,2.0
1.0,353,2,1.0,0.0,6.05,149.0,3.47,68.39,3.0,1.0,1.0,1.0,2.0
1.0,185,2,1.0,2.0,6.72,106.0,2.27,78.52,3.0,0.0,1.0,0.0,2.0
1.0,427,3,1.0,2.0,7.3,109.0,3.52,63.58,1.0,2.0,1.0,3.0,2.0
5.0,1896,4,2.0,0.0,7.59,117.0,4.76,90.33,2.0,1.0,0.0,3.0,2.0
5.0,1406,4,1.0,0.0,5.67,96.0,3.54,71.79,2.0,2.0,1.0,2.0,2.0
5.0,1478,4,1.0,2.0,7.42,89.0,2.91,66.54,5.0,1.0,2.0,3.0,2.0
1.0,894,1,2.0,0.0,7.09,132.0,4.74,78.49,3.0,2.0,0.0,3.0,2.0
1.0,304,2,2.0,0.0,4.69,98.0,4.17,74.88,2.0,1.0,0.0,1.0,2.0
1.0,414,2,1.0,0.0,7.0,94.0,4.79,74.3,2.0,1.0,0.0,3.0,2.0
1.0,752,2,2.0,3.0,5.15,96.0,3.86,90.87,2.0,0.0,0.0,1.0,2.0
2.0,3686,2,1.0,0.0,6.23,92.0,4.17,78.04,15.0,1.0,1.0,3.0,2.0
2.0,3212,3,2.0,2.0,6.51,130.0,4.12,76.44,8.0,2.0,0.0,3.0,2.0
4.0,943,3,1.0,0.0,7.88,284.0,4.79,74.29,7.0,1.0,0.0,3.0,2.0
1.0,466,1,1.0,0.0,2.76,78.0,3.65,77.87,4.0,0.0,0.0,0.0,1.0
1.0,284,1,1.0,2.0,4.71,104.0,4.17,75.88,2.0,1.0,0.0,3.0,2.0
5.0,1131,2,1.0,3.0,7.95,125.0,4.43,71.05,4.0,2.0,0.0,3.0,2.0
2.0,3790,5,1.0,0.0,7.5,135.0,4.11,73.76,8.0,1.0,0.0,1.0,2.0
5.0,2106,2,1.0,0.0,3.7,23.0,4.34,74.47,4.0,1.0,1.0,3.0,1.0
4.0,425,3,1.0,0.0,6.25,146.0,4.1,84.71,6.0,1.0,1.0,3.0,2.0
2.0,2988,2,1.0,3.0,6.91,132.0,3.18,68.22,15.0,2.0,1.0,1.0,2.0
1.0,342,3,1.0,4.0,7.29,86.0,2.6,64.84,4.0,0.0,0.0,0.0,2.0
5.0,2236,1,2.0,3.0,5.69,96.0,3.86,78.8,4.0,2.0,0.0,1.0,2.0
5.0,2011,3,1.0,3.0,7.16,129.0,3.81,82.58,5.0,1.0,0.0,1.0,2.0
3.0,255,2,1.0,0.0,7.99,138.0,4.1,71.2,3.0,1.0,1.0,3.0,2.0
1.0,261,1,1.0,0.0,7.5,117.0,4.76,74.08,2.0,2.0,0.0,2.0,2.0
5.0,1935,1,1.0,2.0,6.65,85.0,4.18,78.63,4.0,0.0,0.0,3.0,2.0
5.0,1453,3,1.0,0.0,7.32,164.0,4.07,75.63,3.0,1.0,1.0,3.0,2.0
2.0,2337,4,1.0,0.0,3.92,508.0,3.67,93.94,12.0,1.0,2.0,3.0,2.0
2.0,3854,4,1.0,0.0,6.17,90.0,2.29,77.95,11.0,1.0,3.0,1.0,2.0
3.0,419,2,1.0,3.0,6.92,139.0,3.79,70.88,3.0,2.0,1.0,3.0,2.0
1.0,326,1,1.0,3.0,7.82,735.0,2.5,31.36,3.0,2.0,0.0,2.0,2.0
1.0,547,3,1.0,3.0,6.57,133.0,3.18,89.65,4.0,0.0,1.0,1.0,2.0
4.0,704,1,2.0,3.0,8.33,193.0,4.28,78.86,5.0,1.0,0.0,3.0,0.0
1.0,910,1,1.0,0.0,5.11,87.0,3.56,70.83,3.0,2.0,0.0,0.0,2.0
1.0,832,2,1.0,0.0,6.23,140.0,3.48,94.21,1.0,0.0,0.0,0.0,2.0
4.0,668,2,1.0,0.0,7.2,117.0,4.76,71.81,6.0,1.0,0.0,3.0,2.0
5.0,1947,1,1.0,2.0,5.91,95.0,4.17,93.57,5.0,1.0,0.0,3.0,2.0
1.0,311,3,1.0,2.0,1.21,55.0,3.68,76.19,3.0,1.0,0.0,1.0,1.0
5.0,1187,4,2.0,3.0,6.1,137.0,3.8,78.18,4.0,1.0,0.0,1.0,2.0
4.0,1283,3,2.0,0.0,7.38,116.0,4.76,74.96,5.0,2.0,0.0,3.0,2.0
3.0,392,2,1.0,2.0,6.58,84.0,3.55,76.36,0.0,1.0,0.0,1.0,2.0
5.0,1644,3,1.0,0.0,5.05,100.0,4.23,70.07,4.0,1.0,0.0,1.0,1.0
2.0,2792,4,1.0,0.0,7.56,121.0,4.75,78.59,11.0,1.0,0.0,3.0,2.0
4.0,1186,2,2.0,0.0,6.93,145.0,3.47,79.35,4.0,1.0,1.0,1.0,2.0
1.0,287,1,2.0,3.0,5.68,86.0,1.99,78.07,4.0,1.0,3.0,1.0,2.0
2.0,6725,2,1.0,0.0,6.06,136.0,4.74,85.91,10.0,2.0,0.0,3.0,2.0
4.0,783,1,2.0,0.0,6.14,91.0,4.8,87.86,5.0,1.0,0.0,3.0,2.0
1.0,603,2,1.0,3.0,6.23,156.0,4.4,79.65,2.0,0.0,0.0,3.0,2.0
1.0,678,2,2.0,0.0,6.89,148.0,4.1,93.48,1.0,0.0,1.0,3.0,2.0
5.0,1614,3,2.0,0.0,4.56,97.0,4.18,84.09,5.0,1.0,0.0,1.0,2.0
2.0,3898,5,1.0,2.0,4.63,114.0,3.53,72.77,5.0,2.0,0.0,1.0,2.0
1.0,665,2,1.0,3.0,7.02,101.0,4.41,80.81,1.0,1.0,0.0,3.0,0.0
2.0,3232,2,1.0,0.0,7.12,113.0,4.77,81.83,13.0,1.0,0.0,3.0,2.0
4.0,904,3,1.0,2.0,7.75,138.0,4.1,63.1,7.0,2.0,0.0,3.0,2.0
5.0,1725,4,1.0,2.0,7.35,86.0,4.17,78.81,2.0,2.0,0.0,3.0,2.0
1.0,826,3,1.0,0.0,7.11,125.0,4.75,75.37,2.0,1.0,0.0,3.0,2.0
1.0,803,3,1.0,0.0,6.65,155.0,4.09,86.3,1.0,1.0,1.0,2.0,2.0
1.0,285,3,1.0,0.0,8.12,149.0,3.4,65.52,2.0,1.0,2.0,3.0,0.0
1.0,811,1,1.0,0.0,5.46,115.0,4.77,75.75,4.0,1.0,0.0,3.0,2.0
1.0,265,1,2.0,2.0,6.1,124.0,4.13,76.67,2.0,1.0,0.0,3.0,2.0
1.0,122,1,2.0,2.0,6.72,126.0,3.5,83.55,2.0,1.0,1.0,3.0,2.0
1.0,190,3,2.0,2.0,6.24,122.0,4.13,73.85,3.0,1.0,0.0,3.0,2.0
1.0,592,1,2.0,0.0,6.84,99.0,4.79,89.67,3.0,1.0,0.0,3.0,2.0
